倉庫毎の実在庫,商品ID,商品名,在庫しきい値,カテゴリー名,販売可能数,引当済 (全倉庫),安全在庫数,未引当,安全在庫設定値,実在庫数,倉庫ID,倉庫,実在庫 (倉庫毎),引当済 (倉庫毎),SKUコード,セット区分,セット構成品商品ID,セット構成品名,構成品数
10,71032-00000111,bdr-1003-1-15,1,老眼鏡,10,0,0,0,0,10,61144,自社倉庫,10,0,bdr-1003-1-15,0,,,
0,71032-00000112,bdr-1003-2-15,1,老眼鏡,12,0,0,0,0,12,999,RFC倉庫,0,0,bdr-1003-2-15,0,,,
12,71032-00000112,bdr-1003-2-15,1,老眼鏡,12,0,0,0,0,12,61144,自社倉庫,12,0,bdr-1003-2-15,0,,,
0,71032-00000113,bdr-1003-1-20,1,老眼鏡,12,0,0,0,0,12,999,RFC倉庫,0,0,bdr-1003-1-20,0,,,
12,71032-00000113,bdr-1003-1-20,1,老眼鏡,12,0,0,0,0,12,61144,自社倉庫,12,0,bdr-1003-1-20,0,,,
0,71032-00000114,bdr-1003-2-20,1,老眼鏡,17,0,0,0,0,17,999,RFC倉庫,0,0,bdr-1003-2-20,0,,,
17,71032-00000114,bdr-1003-2-20,1,老眼鏡,17,0,0,0,0,17,61144,自社倉庫,17,0,bdr-1003-2-20,0,,,
0,71032-00000115,bdr-1003-1-25,1,老眼鏡,20,0,0,0,0,20,999,RFC倉庫,0,0,bdr-1003-1-25,0,,,
20,71032-00000115,bdr-1003-1-25,1,老眼鏡,20,0,0,0,0,20,61144,自社倉庫,20,0,bdr-1003-1-25,0,,,
0,71032-00000116,bdr-1003-2-25,1,老眼鏡,18,0,0,0,0,18,999,RFC倉庫,0,0,bdr-1003-2-25,0,,,
18,71032-00000116,bdr-1003-2-25,1,老眼鏡,18,0,0,0,0,18,61144,自社倉庫,18,0,bdr-1003-2-25,0,,,
0,71032-00000117,bdr-3001-1-05,1,老眼鏡,0,0,0,0,0,0,999,RFC倉庫,0,0,bdr-3001-1-05,0,,,
0,71032-00000117,bdr-3001-1-05,1,老眼鏡,0,0,0,0,0,0,61144,自社倉庫,0,0,bdr-3001-1-05,0,,,
0,71032-00000118,bdr-3001-2-05,1,老眼鏡,0,0,0,0,0,0,999,RFC倉庫,0,0,bdr-3001-2-05,0,,,
0,71032-00000118,bdr-3001-2-05,1,老眼鏡,0,0,0,0,0,0,61144,自社倉庫,0,0,bdr-3001-2-05,0,,,
0,71032-00000119,bdr-3001-1-075,1,老眼鏡,0,0,0,0,0,0,999,RFC倉庫,0,0,bdr-3001-1-075,0,,,
0,71032-00000119,bdr-3001-1-075,1,老眼鏡,0,0,0,0,0,0,61144,自社倉庫,0,0,bdr-3001-1-075,0,,,
0,71032-00000120,bdr-3001-2-075,1,老眼鏡,0,0,0,0,0,0,999,RFC倉庫,0,0,bdr-3001-2-075,0,,,
0,71032-00000120,bdr-3001-2-075,1,老眼鏡,0,0,0,0,0,0,61144,自社倉庫,0,0,bdr-3001-2-075,0,,,
0,71032-00000121,bdr-3001-1-10,1,老眼鏡,10,0,0,0,0,10,999,RFC倉庫,0,0,bdr-3001-1-10,0,,,
10,71032-00000121,bdr-3001-1-10,1,老眼鏡,10,0,0,0,0,10,61144,自社倉庫,10,0,bdr-3001-1-10,0,,,
0,71032-00000122,bdr-3001-2-10,1,老眼鏡,10,0,0,0,0,10,999,RFC倉庫,0,0,bdr-3001-2-10,0,,,
10,71032-00000122,bdr-3001-2-10,1,老眼鏡,10,0,0,0,0,10,61144,自社倉庫,10,0,bdr-3001-2-10,0,,,
0,71032-00000123,bdr-3001-1-125,1,老眼鏡,0,0,0,0,0,0,999,RFC倉庫,0,0,bdr-3001-1-125,0,,,
0,71032-00000123,bdr-3001-1-125,1,老眼鏡,0,0,0,0,0,0,61144,自社倉庫,0,0,bdr-3001-1-125,0,,,
0,71032-00000124,bdr-3001-2-125,1,老眼鏡,0,0,0,0,0,0,999,RFC倉庫,0,0,bdr-3001-2-125,0,,,
0,71032-00000124,bdr-3001-2-125,1,老眼鏡,0,0,0,0,0,0,61144,自社倉庫,0,0,bdr-3001-2-125,0,,,
0,71032-00000125,bdr-3001-1-15,1,老眼鏡,10,0,0,0,0,10,999,RFC倉庫,0,0,bdr-3001-1-15,0,,,
10,71032-00000125,bdr-3001-1-15,1,老眼鏡,10,0,0,0,0,10,61144,自社倉庫,10,0,bdr-3001-1-15,0,,,
0,71032-00000126,bdr-3001-2-15,1,老眼鏡,17,0,0,0,0,17,999,RFC倉庫,0,0,bdr-3001-2-15,0,,,
17,71032-00000126,bdr-3001-2-15,1,老眼鏡,17,0,0,0,0,17,61144,自社倉庫,17,0,bdr-3001-2-15,0,,,
0,71032-00000127,bdr-3001-1-20,1,老眼鏡,11,0,0,0,0,11,999,RFC倉庫,0,0,bdr-3001-1-20,0,,,
