"ブランド","品番","カラーNo","ｻｲｽﾞ","品名","カラー名","OEM区分","倉庫ｺｰﾄﾞ","倉庫名","ﾛｹｰｼｮﾝ","可能在庫数","出荷残数","ｷｰﾌﾟ残数","現在庫数","原単価","原価額","預かり区分","年月度","前月在庫数","入荷数","出荷数","入庫数","出庫数","振替数(+)","振替数(-)","調整数","棚卸差異","未入庫数"
"ﾏｻｷﾏﾂｼﾏF","MF1312","1","57","ＭＦ－１３１２","ｸﾞﾚｰ･ﾌﾞﾗｯｸ","プロパー","1","物流部倉庫","002E010","0.00","1.00","11.00","12.00","6948.00","83376","自社","2026/09","12.00","0","0","0","0","0","0","0","0","0.00"
"ﾏｻｷﾏﾂｼﾏF","MF1312","2","57","ＭＦ－１３１２","ｻﾝﾄﾞｸﾞﾚｰ","プロパー","1","物流部倉庫","002E010","62.00","0.00","17.00","79.00","6378.00","503862","自社","2026/09","79.00","0","0","0","0","0","0","0","0","0.00"
"ﾏｻｷﾏﾂｼﾏF","MF1312","3","57","ＭＦ－１３１２","ﾈｲﾋﾞｰ･ｼﾙﾊﾞｰ","プロパー","1","物流部倉庫","002E010","1.00","0.00","2.00","3.00","6969.00","20907","自社","2026/09","3.00","0","0","0","0","0","0","0","0","0.00"
"ﾏｻｷﾏﾂｼﾏF","MF1312","4","57","ＭＦ－１３１２","ﾏｯﾄﾌﾞﾗｯｸ(ﾌﾞﾗｯｸ)","プロパー","1","物流部倉庫","002E010","3.00","0.00","3.00","6.00","7053.00","42318","自社","2026/09","6.00","0","0","0","0","0","0","0","0","0.00"
"ﾏｻｷﾏﾂｼﾏF","MF1313","1","58","ＭＦ－１３１３","ﾌﾞﾗｳﾝ･ﾌﾞﾗｯｸ","プロパー","1","物流部倉庫","002E010","0.00","0.00","86.00","86.00","6932.00","596152","自社","2026/09","94.00","0.00","8.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"ﾏｻｷﾏﾂｼﾏF","MF1313","2","58","ＭＦ－１３１３","ﾍｱﾗｲﾝｸﾞﾚｰ","プロパー","1","物流部倉庫","002E010","147.00","0.00","53.00","200.00","6412.00","1282400","自社","2026/09","207.00","0.00","5.00","0.00","2.00","0.00","0.00","0.00","0.00","2.00"
"ﾏｻｷﾏﾂｼﾏF","MF1313","3","58","ＭＦ－１３１３","ﾌﾞﾗｯｸ･ｼﾙﾊﾞｰ","プロパー","1","物流部倉庫","002E010","74.00","0.00","92.00","166.00","7052.00","1170632","自社","2026/09","175.00","0.00","7.00","0.00","2.00","0.00","0.00","0.00","0.00","2.00"
"ﾏｻｷﾏﾂｼﾏF","MF1314","1","57","ＭＦ－１３１４","ｺﾞｰﾙﾄﾞ･ﾌﾞﾗｯｸ/ﾌﾞﾗｯｸ","プロパー","1","物流部倉庫","002E010","0.00","0.00","1.00","1.00","6425.00","6425","自社","2026/09","2.00","0.00","1.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"ﾏｻｷﾏﾂｼﾏF","MF1314","2","57","ＭＦ－１３１４","ﾍｱﾗｲﾝｸﾞﾚｰ/ﾚｯﾄﾞ","プロパー","1","物流部倉庫","002E010","64.00","1.00","9.00","74.00","6028.00","446072","自社","2026/09","76.00","0.00","1.00","0.00","1.00","0.00","0.00","0.00","0.00","1.00"
"ﾏｻｷﾏﾂｼﾏF","MF1314","3","57","ＭＦ－１３１４","ｶﾞﾝﾒﾀﾙ","プロパー","1","物流部倉庫","002E010","2.00","1.00","8.00","11.00","5998.00","65978","自社","2026/09","15.00","0.00","3.00","0.00","1.00","0.00","0.00","0.00","0.00","1.00"
